name,my_rating,imdb_rating,tmdb_rating,tmdb_count,metacritic_rating,budget,revenue,runtime,award_count,imdb_count,imdb_arithmetic_mean,imdb_median,imdb_top_1000_rating,imdb_top_1000_count,imdb_us_rating,imdb_us_count,imdb_not_us_rating,imdb_not_us_count,imdb_rating_percentile,tmdb_rating_percentile,metacritic_rating_percentile,is_action,is_comedy,is_adventure,is_animation,is_family,is_drama,is_scifi,is_thriller,is_rated_g,is_rated_pg,is_rated_pg13,is_rated_r,is_rated_nr,is_brad_pitt,is_stan_lee,is_christopher_nolan,is_spielberg,is_harrison_ford,is_matt_damon,is_wes_anderson,is_tom_cruise,is_john_williams,is_rdj,is_quentin_tarantino,is_tom_hanks,is_george_lucas,is_leonardo_dicaprio,is_the_rock,is_stanley_kubrick,is_john_hughes,is_jim_carrey,is_wally_pfister,is_henry_fonda,is_morgan_freeman,is_bong_joon_ho,is_dustin_hoffman,is_arnold_schwarz,is_jack_nicholson,is_aamir_khan,is_sean_connery,is_brad_bird,is_natalie_portman,is_robin_williams,is_sandra_bullock,is_bill_murray
Knives Out,77,7.9,7.9,8693,82,40000000,309232797,131,1,585747,8,8,7.6,682,8,64996,7.8,182250,75.25597269624573,83.10580204778157,81.56996587030717,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shrek,70,7.9,7.7,13767,89,60000000,487853320,90,2,657679,7.9,8,7.7,815,7.9,108605,7.8,273541,75.25597269624573,73.89078498293516,93.1740614334471,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Wars: The Force Awakens,71,7.9,7.3,16910,80,245000000,2068223624,136,5,906708,7.8,8,7.5,821,8,109543,7.7,308475,75.25597269624573,56.484641638225256,77.81569965870307,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Still Walking,58,7.9,7.7,238,89,0,3511120,114,0,15921,7.9,8,6.8,188,8,2110,7.9,8442,75.25597269624573,73.89078498293516,93.1740614334471,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Bourne Identity,62,7.9,7.4,7705,68,60000000,214034224,119,1,537104,8,8,7.6,842,8,86623,7.8,249128,75.25597269624573,60.580204778157,53.924914675767916,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Story of Plastic,38,7.9,7.4,7,72.3114211863489,0,0,95,0,351,7.7,8,7.3,7,7.9,44,7.8,186,75.25597269624573,60.580204778157,0.17064846416382254,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thor: Ragnarok,85.5,7.9,7.6,17494,74,180000000,853977126,131,0,692295,8,8,7.4,753,8,75710,7.7,215207,75.25597269624573,70.13651877133105,67.06484641638225,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toy Story 2,67,7.9,7.6,11498,88,90000000,497366869,92,1,564446,7.9,8,7.8,771,8.1,101572,7.8,222254,75.25597269624573,70.13651877133105,90.78498293515358,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aladdin,81,8,7.6,9590,87,28000000,504050219,90,5,400814,8.1,8,7.7,762,8.2,76404,7.9,153390,77.81569965870307,70.13651877133105,89.76109215017065,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Casino Royale,49,8,7.5,8840,80,150000000,599045960,144,0,642598,8,8,7.7,838,8.2,105742,7.9,291653,77.81569965870307,66.04095563139931,77.81569965870307,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
